category,product_name,retail_price
Clothes,Alisha Solid Women's Cycling Shorts,999.0
Clothes,Alisha Solid Women's Cycling Shorts,699.0
Clothes,Alisha Solid Women's Cycling Shorts,1199.0
Clothes,Alisha Solid Women's Cycling Shorts,1199.0
Clothes,Carrel Printed Women's,2299.0
Clothes,Alisha Solid Women's Cycling Shorts,999.0
Clothes,Alisha Solid Women's Cycling Shorts,999.0
Clothes,Carrel Printed Women's,2499.0
Clothes,dongli Printed Boy's Round Neck T-Shirt,2400.0
Clothes,Glus Wedding Lingerie Set,1299.0
Clothes,Bulaky vanity case Jewellery Vanity Case,499.0
Clothes,FDT Women's Leggings,699.0
Clothes,Madcaps C38GR30 Men's Cargos,2199.0
Clothes,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0
Clothes,KAJCI Embroidered Women's Waistcoat,1200.0
Clothes,Pick Pocket Embroidered Women's Waistcoat,899.0
Clothes,Angelfish Silk Potali Potli,999.0
Clothes,Oye Boy's Dungaree,899.0
Clothes,Roadster Men's Zipper Solid Cardigan,1399.0
Clothes,Vermello Men Casual Brown Genuine Leather Belt,1495.0
Clothes,Ligans NY Men Formal Black Genuine Leather Belt,795.0
Clothes,Mario Gotze Women's Printed Casual Orange Shirt,1499.0
Clothes,Discountgod Men's Checkered Casual Shirt,750.0
Clothes,Silver Streak Men's Printed Casual Denim Shirt,1299.0
Clothes,Wrangler Skanders Fit Men's Jeans,2795.0
Clothes,Wrangler Regular Fit Men's Jeans,3295.0
Clothes,Lee Men's Jeans,2699.0
Clothes,Roadster Skinny Fit Fit Men's Jeans,2499.0
Clothes,Traditions Printed Protective Men's Gloves,500.0
Clothes,Eccellente Solid Hip Hop Cap,899.0
Clothes,Traditions Printed Protective Men's Gloves,500.0
Clothes,JASPO Thunder Intact Superior Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age upto 6 to 14 years Skating Kit,1399.0
Clothes,Masaba for Magic fairy Girl's Layered Pink Dress,1775.0
Clothes,JASPO Saphire Dual Shoe Skates Combo Size 5 Skating Kit,2299.0
Clothes,Wake Up Competition Full Sleeve Striped Men's Sweatshirt,1495.0
Clothes,"Great Art Floral Print Wool, Viscose, 20% Kashmiri wool, 50% Cashmilon and 30% Wool ruffle yarn Women's Stole",1099.0
Clothes,Svt Ada Collections Formal Full Sleeve Checkered Women's Top,1199.0
Clothes,Svt Ada Collections Party 3/4 Sleeve Checkered Women's Top,1199.0
Clothes,Svt Ada Collections Casual Full Sleeve Checkered Women's Top,1699.0
Clothes,Peppermint Blues Casual Sleeveless Printed Women's Top,399.0
Clothes,Just In Time Fashions Women's A-line Dress,2499.0
Clothes,Yepme Women's Gathered Dress,1799.0
Clothes,Van Heusen Men's Printed Party Shirt,2099.0
Clothes,Mykraft Girl's A-line Dress,1205.0
Clothes,The Cranberry Club Girl's Gathered Dress,1299.0
Clothes,Fashion Tree Men's Solid Formal Shirt,999.0
Clothes,Fashion Tree Men's Solid Formal Shirt,999.0
Clothes,Fashion Tree Men's Solid Formal Shirt,999.0
Clothes,Peter England Men's Solid Formal Shirt,1399.0
Clothes,Gee & Bee Casual Printed Women's Kurti,1664.0
Clothes,Gee & Bee Casual Printed Women's Kurti,2499.0
Clothes,Dumdaar.Com Casual Short Sleeve Self Design Women's Top,999.0
Clothes,"F&S Casual, Party Short Sleeve Self Design Women's Top",1299.0
Clothes,Oviya Casual Sleeveless Self Design Women's Top,999.0
Clothes,The Clove Casual 3/4 Sleeve Self Design Women's Top,800.0
Clothes,The Vanca Formal Full Sleeve Self Design Women's Top,1499.0
Clothes,Fantasy Ika Casual Short Sleeve Solid Women's Top,950.0
Clothes,Fantasy Ika Casual 3/4 Sleeve Self Design Women's Top,849.0
Clothes,Ausy Casual Short Sleeve Floral Print Women's Top,999.0
Clothes,Ausy Casual Short Sleeve Printed Women's Top,999.0
Clothes,Shilpkala Casual Short Sleeve Printed Women's Top,999.0
Clothes,Shilpkala Casual Sleeveless Solid Women's Top,699.0
Clothes,Shilpkala Casual Cape Sleeve Printed Women's Top,799.0
Clothes,Shilpkala Casual Bell Sleeve Printed Women's Top,799.0
